80 169
1.113445378151261e+00 1.782590149984044e-01 0.000000000000000e+00
1.121848739495799e+00 1.804826082331667e-01 0.000000000000000e+00
1.130252100840337e+00 1.827062014679289e-01 0.000000000000000e+00
1.138655462184874e+00 1.849297947026912e-01 0.000000000000000e+00
1.147058823529412e+00 1.871533879374535e-01 0.000000000000000e+00
1.155462184873950e+00 1.893769811722157e-01 0.000000000000000e+00
1.163865546218488e+00 1.916005744069780e-01 0.000000000000000e+00
1.172268907563025e+00 1.938241676417402e-01 0.000000000000000e+00
1.180672268907563e+00 1.960477608765025e-01 0.000000000000000e+00
1.189075630252100e+00 1.982713541112647e-01 0.000000000000000e+00
1.197478991596638e+00 2.004949473460270e-01 0.000000000000000e+00
1.205882352941176e+00 2.027185405807893e-01 0.000000000000000e+00
1.214285714285714e+00 2.049421338155515e-01 0.000000000000000e+00
1.222689075630252e+00 2.071657270503138e-01 0.000000000000000e+00
1.231092436974790e+00 2.093893202850761e-01 0.000000000000000e+00
1.239495798319328e+00 2.116129135198383e-01 0.000000000000000e+00
1.247899159663866e+00 2.138365067546006e-01 0.000000000000000e+00
1.256302521008404e+00 2.160600999893628e-01 0.000000000000000e+00
1.264705882352941e+00 2.182836932241251e-01 0.000000000000000e+00
1.273109243697479e+00 2.205072864588873e-01 0.000000000000000e+00
1.281512605042017e+00 2.227308796936496e-01 0.000000000000000e+00
1.289915966386554e+00 2.249544729284118e-01 0.000000000000000e+00
1.298319327731093e+00 2.271780661631742e-01 0.000000000000000e+00
1.306722689075631e+00 2.294016593979363e-01 0.000000000000000e+00
1.315126050420168e+00 2.316252526326986e-01 0.000000000000000e+00
1.323529411764706e+00 2.338488458674609e-01 0.000000000000000e+00
1.331932773109244e+00 2.360724391022231e-01 0.000000000000000e+00
1.340336134453781e+00 2.382960323369854e-01 0.000000000000000e+00
1.348739495798319e+00 2.405196255717476e-01 0.000000000000000e+00
1.357142857142857e+00 2.427432188065099e-01 0.000000000000000e+00
1.365546218487395e+00 2.449668120412722e-01 0.000000000000000e+00
1.373949579831933e+00 2.471904052760345e-01 0.000000000000000e+00
1.382352941176471e+00 2.494139985107967e-01 0.000000000000000e+00
1.390756302521008e+00 2.516375917455590e-01 0.000000000000000e+00
1.399159663865547e+00 2.538611849803213e-01 0.000000000000000e+00
1.407563025210084e+00 2.560847782150835e-01 0.000000000000000e+00
1.415966386554622e+00 2.583083714498458e-01 0.000000000000000e+00
1.424369747899160e+00 2.605319646846080e-01 0.000000000000000e+00
1.432773109243697e+00 2.627555579193703e-01 0.000000000000000e+00
1.441176470588235e+00 2.649791511541325e-01 0.000000000000000e+00
1.449579831932773e+00 2.672027443888948e-01 0.000000000000000e+00
1.457983193277310e+00 2.694263376236570e-01 0.000000000000000e+00
